stars	delivery	takeout	Outdoor seating	hours	cost	location	cuisine
4	0	0	0	0	3	4	55
4	0	0	0	23	2	4	14
3.5	0	0	0	22	2	4	46
3.5	0	0	0	23	2	1	11
4	0	0	0	23	2	2	193
3	0	0	0	3	2	4	39
5	0	0	0	22	2	4	46
3.5	0	0	0	1	2	4	55
4.5	0	0	0	22.5	1	4	46
5	0	0	0	18	2	4	40
3.5	0	0	0	1	2	4	55
3.5	0	0	0	21	2	4	55
4	0	0	0	1.5	2	4	46
3.5	0	0	0	18	2	4	114
3.5	0	0	0	18	1	4	123
2.5	0	0	0	21	2	4	36
4.5	0	0	0	23	2	2	67
3.5	0	0	0	18	1	4	177
5	0	0	0	22	2	4	91
4.5	0	0	0	18	2	4	4
4.5	0	0	0	23	2	4	58
4	0	0	0	18	2	1	46
4	0	0	0	18	1	1	15
4	0	0	0	23	2	1	76
4	0	0	0	23	2	4	123
4	0	0	0	21	2	4	101
4.5	0	0	0	0	2	4	58
5	0	0	0	22	2	4	17
3.5	0	0	0	23	2	4	46
4.5	0	0	0	23	2	4	35
3.5	0	0	0	18	2	4	46
4	0	0	0	18	3	1	11
3.5	0	0	0	18	1	4	91
4.5	0	0	0	20	1	1	77
4.5	0	0	0	23	2	4	48
4.5	0	0	0	2	2	4	11
3.5	0	0	0	22	2	4	203
3.5	0	0	0	23	2	4	14
4	0	0	0	22	2	4	186
3.5	0	0	0	23	1	4	91
4	0	0	0	22	1	4	32
3.5	0	0	0	2	3	1	164
4	0	0	0	1	2	1	11
4	0	0	0	2	2	4	14
3.5	0	0	0	21	3	4	55
4	0	0	0	23	2	2	38
4	0	0	0	22	1	4	186
3.5	0	0	0	18	1	4	203
3	0	0	0	22	2	4	32
4	0	0	0	22.5	2	4	14
4	0	0	0	21.5	1	4	17
4	0	0	0	22	1	4	36
3.5	0	0	0	21	2	4	191
3.5	0	0	0	4	1	4	186
3.5	0	0	0	23	2	4	4
3.5	0	0	0	21	2	4	15
4	0	0	0	18	1	4	91
3.5	0	0	0	21	1	4	123
2	0	0	0	1	2	4	58
4.5	0	0	0	18	2	1	78
4	0	0	0	1	2	4	32
4	0	0	0	21	2	1	134
5	0	0	0	21	2	4	41
1.5	0	0	0	4	2	4	58
3	0	0	0	23	2	4	14
5	0	0	0	1	2	4	55
4.5	0	0	0	22	2	1	67
2.5	0	0	0	22	2	4	58
4.5	0	0	0	18	2	4	14
4	0	0	0	18	2	4	105
4	0	0	0	23	2	4	46
3.5	0	0	0	0	2	4	46
3	0	0	0	3	2	4	105
3	0	0	0	23	2	1	139
4	0	0	0	0	2	4	46
2.5	0	0	0	22	1	4	35
2.5	0	0	0	22	2	4	46
4	0	0	0	22	2	4	46
3.5	0	0	0	23	1	4	31
2.5	0	0	0	21.5	1	4	4
5	0	0	0	18	2	4	67
3.5	0	0	0	18	1	4	123
4	0	0	0	2	1	4	23
4	0	0	0	21	2	4	46
3	0	0	0	23	3	4	11
4	0	0	0	2	2	1	13
4.5	0	0	0	18	3	1	39
4	0	0	0	1	2	1	4
5	0	0	0	21	2	1	77
4.5	0	0	0	22.5	2	1	20
4.5	0	0	0	16	2	1	4
4.5	0	0	0	18	2	1	126
3.5	0	0	0	21	2	1	186
4.5	0	0	0	21	2	1	24
4.5	0	0	0	0	2	1	123
4.5	0	0	0	18	2	1	91
4	0	0	0	23	2	1	55
4.5	0	0	0	18	2	1	20
4	0	0	0	22	2	1	14
4.5	0	0	0	21.5	2	1	18
4	0	0	0	23	2	1	78
4.5	0	0	0	22	2	1	2
4.5	0	0	0	20	2	1	114
4.5	0	0	0	18	1	1	5
5	0	0	0	18	2	1	78
4.5	0	0	0	21	2	1	55
3.5	0	0	0	0	2	1	186
4	0	0	0	21	2	1	36
4.5	0	0	0	22.5	2	1	37
4.5	0	0	0	16	2	1	134
3.5	0	0	0	22	2	1	14
4	0	0	0	0	2	1	46
4.5	0	0	0	23	1	1	14
4	0	0	0	22	2	1	33
4	0	0	0	20	2	1	39
4.5	0	0	0	21	2	1	43
5	0	0	0	18	2	1	76
4	0	0	0	22	1	1	24
4.5	0	0	0	23	2	5	18
4	0	0	0	18	2	1	130
4.5	0	0	0	21	2	1	14
4	0	0	0	23	2	1	79
5	0	0	0	21.5	2	1	2
4	0	0	0	22	1	1	18
5	0	0	0	18	2	1	17
5	0	0	0	1	2	1	134
4	0	0	0	21.5	2	1	164
4	0	0	0	18	3	1	193
4	0	0	0	0	2	1	18
3.5	0	0	0	22	2	5	108
4.5	0	0	0	21	2	1	177
3.5	0	0	0	0	2	1	130
4.5	0	0	0	18	2	1	88
4	0	0	0	18	2	1	39
4	0	0	0	18	2	1	4
4	0	0	0	18	2	1	0
4	0	0	0	18	1	1	193
3.5	0	0	0	23	2	1	18
4	0	0	0	23	2	1	43
4.5	0	0	0	19.5	2	1	196
4.5	0	0	0	18	2	1	128
4	0	0	0	16	2	1	104
3.5	0	0	0	23	2	1	24
4	0	0	0	18	2	1	193
4.5	0	0	0	18	2	1	152
4.5	0	0	0	18	2	1	94
4.5	0	0	0	23	2	1	76
4	0	0	0	22	2	1	108
4.5	0	0	0	17	2	1	203
4	0	0	0	18	2	1	78
4.5	0	0	0	18	1	1	18
4	0	0	0	16	2	1	186
3.5	0	0	0	21	2	1	41
4	0	0	0	23	3	1	18
3.5	0	0	0	23	2	1	55
4.5	0	0	0	22	2	1	43
4	0	0	0	21	2	1	46
3.5	0	0	0	18	2	1	39
4	0	0	0	14.5	2	1	203
5	0	0	0	18	2	1	15
4.5	0	0	0	23	2	1	67
4.5	0	0	0	16	1	1	91
3.5	0	0	0	0	3	1	55
5	0	0	0	21	2	1	1
4	0	0	0	20.5	2	1	18
4.5	0	0	0	18	2	1	11
4	0	0	0	22.5	2	1	193
4	0	0	0	22	2	1	2
4.5	0	0	0	0	2	1	28
4	0	0	0	22	2	1	14
4	0	0	0	18	2	5	14
3.5	0	0	0	18	2	1	88
4.5	0	0	0	22	2	1	28
4	0	0	0	22	2	1	37
3.5	0	0	0	22	2	1	130
3	0	0	0	18	2	1	126
5	0	0	0	18	2	1	41
4	0	0	0	22	2	1	78
3	0	0	0	4	2	1	78
5	0	0	0	18	2	1	58
4	0	0	0	23	2	1	14
4.5	0	0	0	20	2	1	203
4	0	0	0	18	2	1	49
4	0	0	0	1	2	1	11
3.5	0	0	0	23	2	1	8
4.5	0	0	0	18	2	1	46
3.5	0	0	0	22	2	1	123
4.5	0	0	0	14.5	2	1	41
4	0	0	0	23	2	1	177
3.5	0	0	0	22	1	2	43
4	0	0	0	22	2	1	33
4	0	0	0	18	1	1	4
4	0	0	0	2	2	1	120
5	0	0	0	22	2	1	37
4	0	0	0	23	2	1	41
4	0	0	0	22	3	1	123
4	0	0	0	2	2	1	128
4.5	0	0	0	18	2	1	72
4.5	0	0	0	18	2	1	46
4	0	0	0	23	2	1	128
4	0	0	0	23	2	1	41
5	0	0	0	18	2	1	28
4	0	0	0	18	1	1	123
4	0	0	0	18	2	1	76
4	0	0	0	2	2	1	18
4	0	0	0	22	3	1	46
3	0	0	0	22	1	1	14
4	0	0	0	16	1	1	76
4.5	0	0	0	22	2	1	35
4.5	0	0	0	18	2	1	28
4	0	0	0	1	3	1	55
4	0	0	0	18	2	1	2
4	0	0	0	23	1	1	78
4.5	0	0	0	0	2	1	128
3.5	0	0	0	20	2	1	76
4	0	0	0	17	1	1	78
3.5	0	0	0	0	2	1	14
4	0	0	0	21	2	1	54
3.5	0	0	0	0	2	2	35
4	0	0	0	20	1	1	20
4.5	0	0	0	17	2	1	39
5	0	0	0	14.5	2	1	152
4	0	0	0	22	2	1	88
3.5	0	0	0	22	2	1	193
4	0	0	0	0	2	1	123
5	0	0	0	18	2	1	43
4.5	0	0	0	18	2	1	28
4.5	0	0	0	18	2	1	2
4	0	0	0	23	2	1	14
4	0	0	0	1	2	1	11
3.5	0	0	0	22.5	2	1	63
3.5	0	0	0	22	2	1	2
4	0	0	0	16	1	1	46
5	0	0	0	22.5	2	1	8
4.5	0	0	0	23	3	1	128
4	0	0	0	23	2	1	67
4.5	0	0	0	18	2	1	2
4.5	0	0	0	18	2	1	128
3.5	0	0	0	18	2	1	4
4.5	0	0	0	18	2	1	41
3.5	0	0	0	2	2	1	16
4	0	0	0	22.5	2	1	14
5	0	0	0	18	2	1	33
4	0	0	0	0	2	1	58
4	0	0	0	22	2	1	39
3	0	0	0	18	4	1	98
4.5	0	0	0	21.5	2	1	14
4.5	0	0	0	22	2	1	33
4	0	0	0	0	2	1	91
4	0	0	0	0	2	5	58
4.5	0	0	0	22	2	5	37
4	0	0	0	21	2	5	63
4	0	0	0	21	2	5	14
4	0	0	0	18	2	5	18
4	0	0	0	23	2	5	14
4	0	0	0	18	2	5	6
5	0	0	0	22	2	5	2
3.5	0	0	0	18	2	5	14
4	0	0	0	18	2	5	14
4	0	0	0	18	2	5	2
4	0	0	0	18	2	5	63
4	0	0	0	23	2	5	20
4.5	0	0	0	18	2	5	18
4	0	0	0	18	2	5	72
4	0	0	0	22	3	5	126
4	0	0	0	22	3	5	193
4.5	0	0	0	21	1	5	18
4	0	0	0	0	2	5	14
4.5	0	0	0	6	2	5	18
3.5	0	0	0	21	2	5	91
4	0	0	0	23	2	5	6
4	0	0	0	2	2	5	14
4	0	0	0	21	2	5	152
4	0	0	0	21.5	2	5	18
3.5	0	0	0	0	2	5	3
4	0	0	0	22.5	2	5	2
4.5	0	0	0	22	2	5	46
3.5	0	0	0	21	2	5	93
4.5	0	0	0	22	1	5	38
4	0	0	0	21	2	2	91
3.5	0	0	0	22	2	5	14
3	0	0	0	21	1	5	14
4	0	0	0	21	2	2	56
4.5	0	0	0	18	2	5	29
4.5	0	0	0	18	2	5	14
3.5	0	0	0	22	2	5	18
4	0	0	0	22	2	5	177
3.5	0	0	0	18	1	5	6
4	0	0	0	18	2	5	6
4	0	0	0	22	2	5	14
3.5	0	0	0	21	2	5	18
4.5	0	0	0	18	2	5	2
3.5	0	0	0	18	2	5	2
4	0	0	0	18	2	5	4
3.5	0	0	0	21	2	5	2
5	0	0	0	18	2	5	24
3.5	0	0	0	23	2	5	55
3.5	0	0	0	18	2	5	14
4.5	0	0	0	18	2	5	177
3	0	0	0	18	3	5	123
4	0	0	0	22	3	5	193
4	0	0	0	21.5	2	5	54
4	0	0	0	22	2	5	2
4.5	0	0	0	21	2	5	29
4	0	0	0	0	2	5	14
4	0	0	0	18	2	5	91
4.5	0	0	0	18	1	5	123
3	0	0	0	22.5	3	5	57
4.5	0	0	0	18	2	5	4
3	0	0	0	18	2	5	130
4.5	0	0	0	0	2	5	58
3.5	0	0	0	21	2	5	108
4.5	0	0	0	0	2	5	17
3.5	0	0	0	18	2	5	6
4	0	0	0	18	1	5	14
3.5	0	0	0	22	2	5	20
3.5	0	0	0	18	2	5	4
5	0	0	0	18	2	5	130
4.5	0	0	0	18	2	5	196
4.5	0	0	0	2	3	5	40
4.5	0	0	0	22	2	5	18
4	0	0	0	18	2	5	5
3.5	0	0	0	18	2	5	8
4	0	0	0	18	2	5	41
4	0	0	0	22	2	5	14
3.5	0	0	0	14.5	2	5	39
4	0	0	0	23	2	2	41
4	0	0	0	21	2	5	91
4	0	0	0	18	2	5	6
4	0	0	0	22	4	5	2
4.5	0	0	0	2	2	5	14
4.5	0	0	0	0	3	5	39
3	0	0	0	2	2	5	31
3	0	0	0	22	2	5	130
4.5	0	0	0	22	4	5	2
4	0	0	0	18	2	5	4
3.5	0	0	0	1	3	5	152
4	0	0	0	2	2	5	2
4.5	0	0	0	21	2	2	108
4	0	0	0	22.5	3	5	39
4	0	0	0	22	2	5	123
4	0	0	0	23	1	5	41
3.5	0	0	0	18	1	5	41
3.5	0	0	0	21.5	2	5	128
4.5	0	0	0	18	2	5	105
3.5	0	0	0	22.5	2	5	2
3.5	0	0	0	22	1	5	18
3.5	0	0	0	18	2	5	37
4	0	0	0	18	2	5	6
2.5	0	0	0	22	4	5	126
3.5	0	0	0	21	2	5	46
3.5	0	0	0	1.5	2	5	8
2.5	0	0	0	22	3	5	98
3.5	0	0	0	18	2	5	39
4.5	0	0	0	21	2	5	67
4.5	0	0	0	18	2	5	78
4.5	0	0	0	18	2	5	5
4.5	0	0	0	22.5	2	5	14
3	0	0	0	23	2	5	20
4	0	0	0	22	4	5	126
3.5	0	0	0	21	2	5	2
4	0	0	0	22	2	5	11
3.5	0	0	0	22	2	5	43
4	0	0	0	23	2	5	91
4	0	0	0	22	2	5	2
3	0	0	0	18	2	5	43
3.5	0	0	0	18	2	5	4
4	0	0	0	18	2	5	18
4.5	0	0	0	22	2	5	78
3	0	0	0	23	3	5	14
3.5	0	0	0	22	2	5	0
5	0	0	0	18	2	5	14
4	0	0	0	23	2	5	8
4	0	0	0	21	1	2	20
4.5	0	0	0	22	1	2	128
4.5	0	0	0	22	2	2	63
4	0	0	0	21.5	2	2	43
4.5	0	0	0	0	2	2	37
4.5	0	0	0	21	2	2	2
4	0	0	0	22	2	2	88
4.5	0	0	0	18	3	2	193
4	0	0	0	22	2	2	91
5	0	0	0	22	2	2	193
5	0	0	0	20	2	2	58
4	0	0	0	21.5	2	2	123
4.5	0	0	0	21	1	2	32
4.5	0	0	0	21	2	2	2
4	0	0	0	21	1	2	91
5	0	0	0	22	2	2	0
4	0	0	0	18	2	2	39
4.5	0	0	0	0	2	2	88
4	0	0	0	18	2	2	123
3.5	0	0	0	23	3	2	123
2.5	0	0	0	20	3	2	11
4.5	0	0	0	22	2	2	46
4	0	0	0	18	2	2	91
4	0	0	0	18	2	2	193
3	0	0	0	23	2	2	41
5	0	0	0	22	2	2	193
4.5	0	0	0	19.5	2	2	105
3.5	0	0	0	18	2	2	20
4.5	0	0	0	18	2	2	193
4	0	0	0	21	2	2	18
4	0	0	0	21.5	2	2	14
4	0	0	0	1	2	2	78
3.5	0	0	0	23	2	2	101
3.5	0	0	0	21	2	2	56
3.5	0	0	0	23	2	2	193
3.5	0	0	0	23	2	2	81
4.5	0	0	0	23	1	2	123
4	0	0	0	19.5	2	2	39
4	0	0	0	18	2	2	193
3.5	0	0	0	18	3	2	128
4.5	0	0	0	18	2	2	130
4	0	0	0	18	1	2	76
2.5	0	0	0	22	2	2	120
4	0	0	0	23	2	2	91
3.5	0	0	0	18	2	2	18
4	0	0	0	18	2	2	15
3.5	0	0	0	20	1	2	15
4.5	0	0	0	21	2	2	43
3.5	0	0	0	22	2	2	2
3.5	0	0	0	23	2	2	2
4.5	0	0	0	0	2	2	41
4.5	0	0	0	18	2	2	76
4.5	0	0	0	18	2	2	41
3.5	0	0	0	16	2	2	177
5	0	0	0	18	2	2	193
4.5	0	0	0	18	2	2	48
4.5	0	0	0	21	2	2	193
4	0	0	0	2	4	2	97
3.5	0	0	0	20	1	2	76
4	0	0	0	22	2	2	78
4	0	0	0	23	2	2	11
3	0	0	0	18	3	2	72
4.5	0	0	0	22.5	2	2	123
4.5	0	0	0	22	2	2	2
4	0	0	0	22	2	2	130
3.5	0	0	0	22	2	2	91
4.5	0	0	0	21	2	2	18
4.5	0	0	0	18	2	2	126
4.5	0	0	0	23	2	2	48
3.5	0	0	0	23	2	2	2
4.5	0	0	0	18	2	2	193
5	0	0	0	18	2	2	67
4	0	0	0	21	2	2	76
4	0	0	0	3	2	2	34
3.5	0	0	0	18	2	2	193
2.5	0	0	0	18	2	2	4
4	0	0	0	21	2	2	4
4.5	0	0	0	23	1	2	46
2.5	0	0	0	2	3	2	164
3.5	0	0	0	14.5	2	2	55
4	0	0	0	19.5	1	2	48
4	0	0	0	18	2	2	123
3	0	0	0	22.5	3	2	108
4	0	0	0	18	2	2	130
4	0	0	0	6	2	2	34
4	0	0	0	20	2	2	171
4	0	0	0	20	2	2	123
4	0	0	0	20	2	2	24
4.5	0	0	0	20.5	2	2	105
3	0	0	0	0	2	2	25
3.5	0	0	0	22	2	2	2
5	0	0	0	22	2	2	2
4	0	0	0	2	2	2	20
2.5	0	0	0	21	2	2	76
5	0	0	0	23	2	2	18
4	0	0	0	22	1	2	2
2	0	0	0	21	2	2	58
4.5	0	0	0	18	2	2	39
4	0	0	0	23	1	2	91
3.5	0	0	0	22.5	2	2	78
3.5	0	0	0	18	3	2	193
4	0	0	0	23	2	2	14
4	0	0	0	21	2	2	72
5	0	0	0	0	2	2	51
4	0	0	0	1	2	2	46
4	0	0	0	14.5	2	2	18
4.5	0	0	0	23	2	2	28
5	0	0	0	18	2	2	4
4	0	0	0	18	2	2	1
4	0	0	0	22	2	2	30
3.5	0	0	0	18	2	2	123
3.5	0	0	0	18	1	2	149
4	0	0	0	22	2	2	123
4	0	0	0	18	2	2	203
4	0	0	0	22	4	2	11
3.5	0	0	0	22	2	2	55
4.5	0	0	0	6	2	2	2
4.5	0	0	0	14.5	2	2	78
4	0	0	0	16	2	2	123
4	0	0	0	23	2	2	14
5	0	0	0	19.5	2	2	123
4.5	0	0	0	22	2	2	18
3.5	0	0	0	0	2	2	78
4	0	0	0	18	2	2	14
4	0	0	0	18	2	2	4
5	0	0	0	18	2	2	186
2.5	0	0	0	18	2	2	152
3.5	0	0	0	18	2	2	2
5	0	0	0	18	2	2	193
4	0	0	0	23	2	2	91
2.5	0	0	0	23	2	2	2
4	0	0	0	0	1	2	91
3.5	0	0	0	18	2	2	35
4	0	0	0	22.5	2	2	34
3.5	0	0	0	1	3	2	55
3.5	0	0	0	18	3	2	193
3.5	0	0	0	0	2	2	4
3.5	0	0	0	23	2	2	194
4	0	0	0	22	2	2	128
4.5	0	0	0	16	2	2	21
3.5	0	0	0	22	2	2	41
4	0	0	0	21.5	2	2	46
3	0	0	0	23	2	2	14
4	0	0	0	16	1	2	91
4	0	0	0	18	1	2	39
